"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Colombia",9,2,6.74111111111111,36.6666666666667,5.79989734444444,0.51862748,17071.1244444444,"Electoral democracy","Democratic",8,1261208296.46057,1261208296.46057,60,0.316666666666667,0.8,140134255.162286,6.66666666666667,1,18.7581114936409,20.955336064634,9.74514368616992,1,"Democratic","Electoral democracy"
"Comoros",9,1.22222222222222,3.48,26.3333333333333,18.643723,0.45332918,3439.27124444444,NA,NA,9,175137378.480511,175137378.480511,52,0.0192307692307692,0.980769230769231,19459708.7200567,5.77777777777778,1,16.7838567178615,18.9810812495193,8.14301488037936,1.77777777777778,NA,"Electoral autocracy"
"Congo",9,1,3.01888888888889,21.3333333333333,78.94202,0.44674513,7654.72003333333,"Electoral autocracy","Authoritarian",9,7822151637.76237,7822151637.76237,251,0.254980079681275,0.788844621513944,869127959.751374,27.8888888888889,1,20.5830009229663,22.7802254992798,8.94307773437703,2,"Authoritarian","Electoral autocracy"
"Cook Islands",9,NA,NA,NA,NA,NA,NA,NA,NA,7,37948121.9591524,37948121.9591524,17,0,0.88235294117647,4216457.99546138,1.88888888888889,1,15.2545062331687,17.4517305996908,NA,NA,NA,NA
"Costa Rica",9,3,8.02333333333333,55.8333333333333,1.48073453333333,0.48587827,22399.5542222222,"Liberal democracy","Democratic",9,636921302.675017,636921302.675017,41,0.121951219512195,0.804878048780488,70769033.6305574,4.55555555555556,1,18.0749320990172,20.272156663793,10.0167963368515,0,"Democratic","Liberal democracy"
"Cote d'Ivoire",9,1.44444444444444,3.81777777777778,32.6666666666667,18.2275146666667,0.379710356666667,5432.29813333333,NA,NA,9,6777017097.72276,6777017097.72276,121,0.338842975206612,0.793388429752066,753001899.746974,13.4444444444444,1,20.4395783099934,22.6368028861491,8.60011755236669,1.55555555555556,NA,"Electoral autocracy"
"Croatia",9,2,6.70111111111111,48.8333333333333,0.528672303333333,0.303927613333333,31962.4338888889,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.3723165512012,1,"Democratic","Electoral democracy"
"Cuba",9,0,3.17777777777778,46.6666666666667,NA,NA,NA,"Closed autocracy","Authoritarian",9,4738520856.30108,4738520856.30108,82,0.280487804878049,0.829268292682927,526502317.366787,9.11111111111111,1,20.0817662928843,22.2789908685323,NA,3,"Authoritarian","Closed autocracy"
"Curacao",9,NA,NA,NA,NA,NA,28946.1545555556,NA,NA,4,0,0,5,0,0.6,0,0.555555555555556,1,0,0,10.2731926436276,NA,NA,NA
"Cyprus",9,3,7.51444444444444,59.6666666666667,0.0516008783777778,0.3309157,42851.0967777778,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.6654865194458,0,"Democratic","Liberal democracy"
"Czechia",9,2.77777777777778,7.79666666666667,54.3333333333333,0.0145900003333333,0.2569143,46114.44,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.7388814120419,0.222222222222222,NA,"Liberal democracy"
"Denmark",9,3,9.18888888888889,90,0.205381602222222,0.281914666666667,64893.4163333333,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.0805014543004,0,"Democratic","Liberal democracy"
"Djibouti",9,1,2.83666666666667,32.6666666666667,22.002594,0.428517655,5304.16408888889,"Electoral autocracy","Authoritarian",9,2093493137.58633,2093493137.58633,52,0.173076923076923,0.826923076923077,232610348.620704,5.77777777777778,1,19.2648752924188,21.4620998659337,8.57624746820634,2,"Authoritarian","Electoral autocracy"
"Dominica",9,NA,NA,57.8,NA,NA,16014.4555555556,NA,NA,9,85830642.2236613,85830642.2236613,66,0.151515151515152,0.909090909090909,9536738.02485125,7.33333333333333,1,16.0706621636958,18.2678866478253,9.68124706555877,NA,NA,NA
"Dominican Republic",9,2,6.58444444444444,30.6666666666667,1.70842457,0.431992285555556,19133.6231111111,"Electoral democracy","Democratic",6,55045448.3887261,55045448.3887261,24,0,0.958333333333333,6116160.93208067,2.66666666666667,1,15.626445322476,17.8236697544778,9.85920243870488,1,"Democratic","Electoral democracy"
"East Asia and Pacific (WB)",9,NA,NA,NA,NA,NA,18394.4235,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.81980282700971,NA,NA,NA
"East Timor",9,2,7.18333333333333,32.3333333333333,24.443077,0.28652927,4974.61623333333,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,8.51210350758885,1,"Democratic","Electoral democracy"
"Ecuador",9,2,5.98666666666667,32.8333333333333,3.6780608,0.457496304444444,13688.9014444444,"Electoral democracy","Democratic",9,14059468772.3935,14059468772.2749,136,0.279411764705882,0.772058823529412,1562163196.93262,15.1111111111111,1,21.1693373630167,23.366561939784,9.52434066995271,1,"Democratic","Electoral democracy"
"Egypt",9,0.875,3.17333333333333,34.3333333333333,1.6259653,0.317501346666667,14196.5623333333,NA,NA,9,14624944661.9444,26240382334.7782,63,0.476190476190476,0.73015873015873,1624993851.32716,7,1,21.2087698695377,23.4059944463269,9.56075512507915,2.125,NA,"Electoral autocracy"
"El Salvador",9,1.88888888888889,6.27777777777778,36.6666666666667,2.6243012875,0.39981965,9966.369,NA,NA,5,309755563.765491,309755563.765491,54,0.111111111111111,0.944444444444444,34417284.8628324,6,1,17.3540694921474,19.5512940436568,9.20697160404393,1.11111111111111,NA,"Electoral democracy"
"Equatorial Guinea",9,1,1.82111111111111,17.3333333333333,NA,NA,23518.4716666667,"Electoral autocracy","Authoritarian",9,3764839428.34871,3764839428.34871,83,0.204819277108434,0.831325301204819,418315492.038746,9.22222222222222,1,19.8517464738302,22.0489710490415,10.0655414197425,2,"Authoritarian","Electoral autocracy"
"Eritrea",9,0,2.31888888888889,19.6666666666667,NA,NA,NA,"Closed autocracy","Authoritarian",8,2187885484.99145,2187885484.99145,56,0.125,0.821428571428571,243098387.221272,6.22222222222222,1,19.3089768091585,21.5062013828383,NA,3,"Authoritarian","Closed autocracy"
"Estonia",9,3,7.82111111111111,70.1666666666667,0.49917367,0.319486011111111,40164.9588888889,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.6007502250518,0,"Democratic","Liberal democracy"
"Eswatini",9,0,3.08555555555556,39.75,36.07985,0.54579794,9526.63477777778,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,9.16184681548101,3,"Authoritarian","Closed autocracy"
"Ethiopia",9,1,3.54111111111111,33.6666666666667,26.984606,0.34993124,2181.93737777778,"Electoral autocracy","Authoritarian",9,13320512321.064,13320512321.064,142,0.274647887323944,0.753521126760563,1480056924.56266,15.7777777777778,1,21.1153463872008,23.3125709639364,7.68796846652095,2,"Authoritarian","Electoral autocracy"
"Europe and Central Asia (WB)",9,NA,NA,NA,NA,NA,40308.3145555556,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.6043130431695,NA,NA,NA
"European Union (27)",9,NA,NA,NA,NA,NA,49492.3136666667,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.8095726570384,NA,NA,NA
"Faeroe Islands",9,NA,NA,NA,NA,NA,64407.2787777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.0729819302053,NA,NA,NA
"Fiji",9,0.888888888888889,5.49222222222222,NA,0.84091025,0.33701733,12155.8265555556,NA,NA,9,125919342.667202,125919342.667202,111,0,0.900900900900901,13991038.0741335,12.3333333333333,1,16.4539276165164,18.6511521303199,9.40556388571801,2.11111111111111,NA,"Electoral autocracy"
"Finland",9,3,9.11222222222222,87.8333333333333,0.0532327952222222,0.272666416666667,55364.9034444444,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.9217011601488,0,"Democratic","Liberal democracy"
"France",9,3,7.94444444444444,70.1666666666667,0.0589453496666667,0.318641277777778,52662.397,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.8716569504344,0,"Democratic","Liberal democracy"
"French Polynesia",9,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0.111111111111111,1,0,0,NA,NA,NA,NA
"Gabon",9,1,3.64333333333333,33.8333333333333,2.468642,0.38024372,19495.4562222222,"Electoral autocracy","Authoritarian",9,1633698479.87955,1633698479.87955,48,0.333333333333333,0.854166666666667,181522053.31995,5.33333333333333,1,19.016887715692,21.2141122881313,9.87793670315479,2,"Authoritarian","Electoral autocracy"
"Gambia",9,1.44444444444444,3.76,29.6666666666667,15.3121005,0.373380185,2603.05898888889,NA,NA,6,213702610.445143,213702610.445143,57,0.0175438596491228,0.912280701754386,23744734.4939048,6.33333333333333,1,16.9828714004594,19.1800959403604,7.86444256662365,1.55555555555556,NA,"Electoral autocracy"
"Georgia",9,2,5.65111111111111,54,5.7697873,0.364645978888889,16263.122,"Electoral democracy","Democratic",8,371837902.190556,371837902.190556,23,0.217391304347826,0.739130434782609,41315322.4656173,2.55555555555556,1,17.5367440173405,19.733968573162,9.69665536959127,1,"Democratic","Electoral democracy"
"Germany",9,3,8.61444444444444,80,0.0922291675,0.31596218875,61305.1888888889,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.0236197657952,0,"Democratic","Liberal democracy"
"Ghana",9,2.22222222222222,6.58,44.1666666666667,25.208553,0.43512443,6026.98548888889,NA,NA,9,5255214162.69557,5255214162.69557,135,0.311111111111111,0.785185185185185,583912684.743953,15,1,20.1852620189023,22.3824865947162,8.70400224579621,0.777777777777778,NA,"Electoral democracy"
"Greece",9,3,7.41555555555556,44.3333333333333,0.883681991111111,0.344139161111111,31936.4421111111,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.3715030226749,0,"Democratic","Liberal democracy"
"Greenland",9,NA,NA,NA,NA,NA,65246.3594444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.0859255296735,NA,NA,NA
"Grenada",9,NA,NA,53.3333333333333,0.31790403,0.4381641,15418.5037777778,NA,NA,9,207486678.165579,207486678.165579,77,0.025974025974026,0.935064935064935,23054075.351731,8.55555555555556,1,16.9533531600024,19.1505776987819,9.64332361113696,NA,NA,NA
"Guam",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Guatemala",9,2,5.53,28.6666666666667,9.521302,0.4827621,11014.444,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,9.30696278133967,1,"Democratic","Electoral democracy"
"Guinea",9,0.888888888888889,2.99,26,13.8201,0.29591954,3258.09317777778,NA,NA,9,3989240428.51698,3989240428.51698,77,0.168831168831169,0.844155844155844,443248936.501886,8.55555555555556,1,19.9096421058529,22.1068666811837,8.08889738843927,2.11111111111111,NA,"Electoral autocracy"
"Guinea-Bissau",9,1.33333333333333,2.11888888888889,17.3333333333333,23.811673,0.3410015,2266.76758888889,NA,NA,9,138762615.415311,138762615.415311,66,0.0151515151515152,0.984848484848485,15418068.379479,7.33333333333333,1,16.5510507158926,18.7482752355764,7.7261101260147,1.66666666666667,NA,"Electoral autocracy"
"Guyana",9,2,6.2,32.5,NA,NA,14407.9993333333,"Electoral democracy","Democratic",9,448911641.101806,448911641.101806,67,0.0746268656716418,0.880597014925373,49879071.233534,7.44444444444444,1,17.7251120786339,19.9223366381492,9.5755388405852,1,"Democratic","Electoral democracy"
"Haiti",9,0.888888888888889,4.10333333333333,19.5,NA,NA,3373.79732222222,NA,NA,5,70848.270501508,70848.270501508,11,0,0.818181818181818,7872.03005572311,1.22222222222222,1,8.97119828074648,11.1683099486863,8.12379419082805,2.11111111111111,NA,"Electoral autocracy"
"High-income countries",9,NA,NA,NA,NA,NA,52515.5004444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.8688636515639,NA,NA,NA
"Honduras",9,1,5.63,29,13.7524717142857,0.493476914285714,5941.94141111111,"Electoral autocracy","Authoritarian",5,449932181.38999,449932181.38999,5,1,0.4,49992464.5988878,0.555555555555556,1,17.7273828640156,19.9246074235714,8.68979119584454,2,"Authoritarian","Electoral autocracy"
