"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Turkey",9,1,4.78666666666667,43.1666666666667,0.326459504444444,0.425955708888889,27409.4037777778,"Electoral autocracy","Authoritarian",9,24391461174.8795,24391290386.4842,127,0.889763779527559,0.244094488188976,2710162352.76439,14.1111111111111,1,21.7202743791817,23.9174989561899,10.2186414370638,2,"Authoritarian","Electoral autocracy"
"Turkmenistan",9,0.444444444444444,1.75,18.8333333333333,NA,NA,14111.1993333333,NA,NA,6,1617933.04165748,1617933.04165748,17,0,0.823529411764706,179770.337961942,1.88888888888889,1,12.0994409776447,14.2966606104158,9.55472404005347,2.55555555555556,NA,"Closed autocracy"
"Turks and Caicos Islands",9,NA,NA,NA,NA,NA,25809.8562222222,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.1585117220742,NA,NA,NA
"Tuvalu",9,NA,NA,NA,NA,NA,4516.41833333333,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8.41547455457838,NA,NA,NA
"Uganda",9,1,5.07222222222222,25.6666666666667,42.488603,0.427280725,2575.07858888889,"Electoral autocracy","Authoritarian",9,3822313594.3479,3822313594.3479,113,0.106194690265487,0.902654867256637,424701510.4831,12.5555555555556,1,19.8668971542202,22.0641217294634,7.85363533258896,2,"Authoritarian","Electoral autocracy"
"Ukraine",9,1.33333333333333,5.70222222222222,28.1666666666667,0.03865499675,0.2542593225,16888.1415,NA,NA,9,1614966556.31692,1614966556.29654,60,0.1,0.766666666666667,179440728.479658,6.66666666666667,1,19.0053555134804,21.2025800858629,9.73436696822352,1.66666666666667,NA,"Electoral autocracy"
"United Arab Emirates",9,0,2.71888888888889,69.3333333333333,0,0.29454712,68869.4643333333,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,11.1399681705694,3,"Authoritarian","Closed autocracy"
"United Kingdom",9,3,8.39,79.6666666666667,0.33104784,0.329380982222222,52057.8351111111,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.8601105931874,0,"Democratic","Liberal democracy"
"United States",9,3,7.99111111111111,73.8333333333333,0.915618693333333,0.408895928888889,66426.9178888889,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.1038576432091,0,"Democratic","Liberal democracy"
"United States Virgin Islands",9,NA,NA,NA,NA,NA,44191.5368888889,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.6962885766304,NA,NA,NA
"Upper-middle-income countries",9,NA,NA,NA,NA,NA,16974.2753333333,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.73945426128491,NA,NA,NA
"Uruguay",9,3,8.33555555555555,71.8333333333333,0.123662834888889,0.400162017777778,29204.263,"Liberal democracy","Democratic",9,292542289.791365,292542289.791365,58,0.137931034482759,0.810344827586207,32504698.8657072,6.44444444444444,1,17.2968952480973,19.494119798087,10.2820699707511,0,"Democratic","Liberal democracy"
"Uzbekistan",9,0.666666666666667,2.03111111111111,20,NA,NA,8048.75804444444,NA,NA,9,9161325645.72331,9161325645.72331,94,0.574468085106383,0.702127659574468,1017925071.74703,10.4444444444444,1,20.7410321499564,22.9382567264193,8.99327307831696,2.33333333333333,NA,"Electoral autocracy"
"Vanuatu",9,2,NA,44.5,9.963333,0.32317576,3340.50061111111,"Electoral democracy","Democratic",8,419350014.124452,419350014.124452,82,0.048780487804878,0.926829268292683,46594446.013828,9.11111111111111,1,17.656991929202,19.8542164874611,8.11387595830553,1,"Democratic","Electoral democracy"
"Venezuela",9,1,3.84444444444444,18.1666666666667,NA,NA,NA,"Electoral autocracy","Authoritarian",9,48516548348.6786,48516548348.4313,81,0.333333333333333,0.506172839506173,5390727594.29762,9,1,22.4079462026081,24.6051707797795,NA,2,"Authoritarian","Electoral autocracy"
"Vietnam",9,0.333333333333333,3.19222222222222,32.3333333333333,1.265177525,0.35631957,10313.7386666667,NA,NA,9,14104217895.3633,14104217895.3633,93,0.741935483870968,0.344086021505376,1567135321.70703,10.3333333333333,1,21.1725151544136,23.3697397311827,9.24123213656124,2.66666666666667,NA,"Closed autocracy"
"Virgin Islands (U.S.)",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"West Bank and Gaza Strip",9,NA,NA,NA,NA,NA,NA,NA,NA,7,31176882.5028036,31176882.5028036,27,0,0.925925925925926,3464098.05586707,3,1,15.0579631440602,17.2551874647961,NA,NA,NA,NA
"World",9,NA,5.46666665555556,NA,9.91907588888889,NA,18399.4125555556,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.82007401675892,NA,NA,NA
"Yemen",9,0.333333333333333,2.19555555555556,16.5,19.802757,0.36707094,NA,NA,NA,7,202731764.530251,202731764.530251,28,0,0.964285714285714,22525751.6144724,3.11111111111111,1,16.9301697733077,19.1273943111829,NA,2.66666666666667,NA,"Closed autocracy"
"Zambia",9,1,5.76444444444444,37.3333333333333,60.793095,0.5583758,3560.17326666667,"Electoral autocracy","Authoritarian",9,11584552417.8385,11584552417.8385,146,0.458904109589041,0.671232876712329,1287172490.87094,16.2222222222222,1,20.9757137828974,23.1729383595431,8.1775644930737,2,"Authoritarian","Electoral autocracy"
"Zimbabwe",9,1,3.01222222222222,21.5,36.9802865,0.47296766,3328.92248888889,"Electoral autocracy","Authoritarian",9,3100130978.78795,3100130978.78795,113,0.123893805309735,0.920353982300885,344458997.643105,12.5555555555556,1,19.6574856243338,21.8547101990894,8.11040395370194,2,"Authoritarian","Electoral autocracy"
