"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"factor(entity)Liberia",-17.286166711734,11.0647279626215,-1.56227670215928,0.11988687492126,-39.111654444183,4.53932102071505,"M3_country_year_FE"
"factor(entity)Malawi",-12.2865288278079,11.7551065231137,-1.0452077829877,0.29725487163843,-35.4738077270771,10.9007500714613,"M3_country_year_FE"
"factor(entity)Malaysia",10.3424320856935,4.76596428629184,2.17006076093373,0.0312431647803961,0.941433216571003,19.7434309548159,"M3_country_year_FE"
"factor(entity)Maldives",2.30819404231101,2.80339924204596,0.82335544923186,0.411338135304699,-3.22158996802578,7.8379780526478,"M3_country_year_FE"
"factor(entity)Mauritania",-3.02665681442184,5.31624746867873,-0.569322032552798,0.569810054103917,-13.5131047688838,7.45979114004011,"M3_country_year_FE"
"factor(entity)Mauritius",1.06199711800256,3.87313708078217,0.274195592836618,0.784232193377324,-6.57787492659459,8.7018691625997,"M3_country_year_FE"
"factor(entity)Mexico",4.97837477129503,4.28379306448445,1.16214175062963,0.246635604704678,-3.47152777426232,13.4282773168524,"M3_country_year_FE"
"factor(entity)Moldova",-3.8975217599571,2.54068790759405,-1.53404192160222,0.126682798534135,-8.90910025935631,1.11405673944211,"M3_country_year_FE"
"factor(entity)Mongolia",2.80895532588224,1.82387396628709,1.54010385465423,0.125198811585717,-0.788687473037568,6.40659812480205,"M3_country_year_FE"
"factor(entity)Montenegro",3.42449836738703,3.3908004334367,1.0099380469632,0.313809390883264,-3.26395104710914,10.1129477818832,"M3_country_year_FE"
"factor(entity)Mozambique",-12.0398759562389,11.9177982957788,-1.01024330647578,0.313663537688059,-35.5480689620698,11.468317049592,"M3_country_year_FE"
"factor(entity)Myanmar",-6.64570656674442,5.34557724103822,-1.24321588989961,0.215320179159601,-17.1900083237571,3.89859519026831,"M3_country_year_FE"
"factor(entity)Niger",-18.9575186770822,12.0409450952588,-1.57442115441145,0.117053760953423,-42.7086222154107,4.79358486124627,"M3_country_year_FE"
"factor(entity)Nigeria",-5.35295513029027,5.54870274386542,-0.964721913821827,0.335910386186624,-16.2979276661128,5.5920174055323,"M3_country_year_FE"
"factor(entity)North Macedonia",5.68666119341709,2.95372187447046,1.9252527607856,0.0556910091801346,-0.139638445769653,11.5129608326038,"M3_country_year_FE"
"factor(entity)Pakistan",-5.44879573883595,6.1200465442468,-0.890319329998909,0.374420400060193,-17.5207600225225,6.62316854485064,"M3_country_year_FE"
"factor(entity)Panama",8.36329928142462,5.70601357480185,1.46569915612496,0.144383203263584,-2.89197330175411,19.6185718646034,"M3_country_year_FE"
"factor(entity)Paraguay",-0.0398481254659569,3.14988326391483,-0.0126506673826482,0.989919770583701,-6.25308163355225,6.17338538262034,"M3_country_year_FE"
"factor(entity)Peru",3.27830122806607,2.40035899032641,1.36575455641336,0.17363056644596,-1.456474527273,8.01307698340513,"M3_country_year_FE"
"factor(entity)Philippines",-1.72879280094827,3.33629498311055,-0.518177442252561,0.604937352406135,-8.30972867860343,4.85214307670688,"M3_country_year_FE"
"factor(entity)Romania",7.06227096129039,4.68474606687937,1.5075034720067,0.133342555874475,-2.17852268114899,16.3030646037298,"M3_country_year_FE"
"factor(entity)Russia",12.4251158442276,5.54065218473859,2.24253669603227,0.026082340083322,1.49602326316362,23.3542084252917,"M3_country_year_FE"
"factor(entity)Rwanda",-12.2699502702584,9.65538876421344,-1.27078780253112,0.20535787541367,-31.3154767158483,6.77557617533145,"M3_country_year_FE"
"factor(entity)Senegal",-7.39327757086091,6.96507166612437,-1.06147903787109,0.289819635948732,-21.1320777219501,6.34552258022827,"M3_country_year_FE"
"factor(entity)Serbia",3.07740246325877,2.69122653117595,1.14349439841249,0.254272072878067,-2.23111771363543,8.38592264015297,"M3_country_year_FE"
