"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Mexico",2020,TRUE,TRUE,72578316.4480592,594660.97927739,"Both families funded",0.991873216039789,122.049905706364,4.80443002425664
"Micronesia",2015,TRUE,TRUE,4473097.62934591,145895.824045263,"Both families funded",0.96841393573785,30.6595316118038,3.42294359647778
"Micronesia",2016,TRUE,TRUE,13504926.5300671,328080.545968542,"Both families funded",0.976282774658815,41.1634481105808,3.71755068079479
"Micronesia",2017,TRUE,TRUE,18032447.6114878,53353.2566700711,"Both families funded",0.997049992031926,337.982135242426,5.82299303977383
"Micronesia",2019,TRUE,TRUE,274149.765391962,13482775.3471456,"Both families funded",0.0199281280627247,0.0203333333333335,-3.89549370347693
"Micronesia",2020,TRUE,TRUE,27920925.0596848,420514.818649909,"Both families funded",0.985162545712035,66.3970062917802,4.19565196949882
"Micronesia",2021,TRUE,TRUE,25000000,150000,"Both families funded",0.99403578528827,166.666666666667,5.11599580975408
"Moldova",2014,TRUE,TRUE,1329626.6250693,844492.586192666,"Both families funded",0.611570247933884,1.57446808510638,0.453917491494108
"Mongolia",2014,TRUE,TRUE,83032142.3556366,108663938.370061,"Both families funded",0.433144705104583,0.764118654275775,-0.26903219523076
"Mongolia",2015,TRUE,TRUE,81522471.0919797,252290124.768673,"Both families funded",0.244216282138169,0.32312985364262,-1.12970101288798
"Mongolia",2016,TRUE,TRUE,297291365.373621,297486105.280291,"Both families funded",0.499836291792916,0.999345381504503,-0.000654832851737329
"Mongolia",2017,TRUE,TRUE,154912414.630679,374480.895691631,"Both families funded",0.997588457838491,413.672410029276,6.02507438047543
"Mongolia",2018,TRUE,TRUE,75428260.9458852,198594398.509829,"Both families funded",0.275262859997443,0.379810616572613,-0.968082527933513
"Mongolia",2019,TRUE,TRUE,126143443.422109,57958661.2298871,"Both families funded",0.685181973669203,2.17643818448072,0.777689680265616
"Montenegro",2017,TRUE,TRUE,3410572.82050666,146453.158918514,"Both families funded",0.958827076393133,23.2878064610698,3.14792989573676
"Montenegro",2018,TRUE,TRUE,44684892.8120102,681524.983895408,"Both families funded",0.984977324263039,65.566037735849,4.18305784444677
"Morocco",2014,TRUE,TRUE,331995717.994777,7098324.42471018,"Both families funded",0.979066797003974,46.7709980737225,3.8452633115512
"Morocco",2018,TRUE,TRUE,261349746.489803,57359363.5887628,"Both families funded",0.820025967959865,4.55635715144168,1.51652343396149
"Mozambique",2013,TRUE,TRUE,120349600.212937,108800424.956818,"Both families funded",0.525200030520537,1.10615009326207,0.100885602086175
"Mozambique",2017,TRUE,TRUE,2099732106.26715,91275072.9956117,"Both families funded",0.958341043397985,23.0044418191602,3.13568731985557
"Mozambique",2020,TRUE,TRUE,175901827.876015,146929.624145983,"Both families funded",0.999165403799309,1197.18422270819,7.08772759739871
"Myanmar",2013,TRUE,TRUE,237085082.356498,50761.6448485425,"Both families funded",0.999785938540577,4670.55555555555,8.44903330623318
"Myanmar",2014,TRUE,TRUE,110709523.140848,44836072.2099993,"Both families funded",0.711749650584014,2.46920654918915,0.903896863886731
"Myanmar",2015,TRUE,TRUE,5712833.35532466,47695310.9733079,"Both families funded",0.106965584128373,0.119777672872744,-2.12211798068032
"Myanmar",2016,TRUE,TRUE,102440695.122638,29274396.3129501,"Both families funded",0.777744554599759,3.49932733121199,1.25257075894201
"Myanmar",2017,TRUE,TRUE,314588316.866726,9570790.37773177,"Both families funded",0.970475022407702,32.8696277371902,3.49254906230595
"Myanmar",2018,TRUE,TRUE,23135969.4319041,34593844.5693229,"Both families funded",0.400762930422959,0.668788616007734,-0.40228723887605
"Myanmar",2019,TRUE,TRUE,13089601.2324128,1457771.97194082,"Both families funded",0.899791395225596,8.97918294792415,2.1949088924201
"Myanmar",2020,TRUE,TRUE,48023991.1026581,14471257.2430443,"Both families funded",0.768442279595494,3.31857766717132,1.1995362776305
"Myanmar",2021,TRUE,TRUE,126000000,165769570.36169,"Both families funded",0.431847638682146,0.760091250312603,-0.274316786708337
"Namibia",2013,TRUE,TRUE,117761887.638511,33122.2291184889,"Both families funded",0.999718814666634,3555.37325755579,8.17621533181879
"Namibia",2014,TRUE,TRUE,154993332.397188,215350.20088126,"Both families funded",0.998612511895105,719.726899547442,6.5788718338712
"Namibia",2017,TRUE,TRUE,34105728.2050665,28569.4928404992,"Both families funded",0.999163026786333,1193.78136656032,7.08488116710237
"Namibia",2018,TRUE,TRUE,73657948.5742966,29166431.0521564,"Both families funded",0.716347123531267,2.52543578069524,0.926413634249959
"Nepal",2013,TRUE,TRUE,73163750.8611576,49350674.4775611,"Both families funded",0.597184785864032,1.48252788104089,0.393748658485846
"Nepal",2014,TRUE,TRUE,566609.835945886,22141.9046281697,"Both families funded",0.962391780605896,25.5899320975769,3.24219899669326
"Nepal",2016,TRUE,TRUE,251156094.178907,17207984.1158323,"Both families funded",0.935878213562796,14.5953234549903,2.68070116610163
"Nepal",2017,TRUE,TRUE,170528641.025332,1534757.76922799,"Both families funded",0.991080277502478,111.111111111111,4.71053070164592
"Nepal",2018,TRUE,TRUE,229160747.256525,9948017.14516142,"Both families funded",0.958395430756986,23.035821502176,3.13705046096776
"Nepal",2019,TRUE,TRUE,71834095.3633278,11235.6461226213,"Both families funded",0.999843613412803,6393.41027470601,8.76302309432245
"Nepal",2021,TRUE,TRUE,7800000,141086663.803101,"Both families funded",0.0523888426321065,0.0552851686314279,-2.89525060477215
"Niger",2013,TRUE,TRUE,84852927.5846847,57037638.2716497,"Both families funded",0.598016697393392,1.48766551624316,0.397208123671418
