"entity","year","sector_family","project_count","funded_project_count","family_aid_usd2021","family_aid_usd2021_unadjusted","loan_share","development_intent_share","cpi","extreme_poverty","gini","gdp_pc","log_gdp_pc","log_family_aid","strategic_family","entity_year"
"Nigeria",2015,"Social",5,2,146498.734529598,146498.734529598,0,1,26,32.25663,0.35879776,5985.094,8.69702732380023,11.894778895353,0,"Nigeria__2015"
"Nigeria",2016,"Strategic",1,1,213235.682053692,213235.682053692,0,1,28,NA,NA,5744.558,8.6560082508566,12.270158011135,1,"Nigeria__2016"
"Nigeria",2017,"Social",6,3,49250349.8172295,49250349.8172295,0.166666666666667,1,27,NA,NA,5651.7344,8.6397177504851,17.7124270487495,0,"Nigeria__2017"
"Nigeria",2017,"Strategic",2,2,1991401692.86547,1991401692.86547,1,0,27,NA,NA,5651.7344,8.6397177504851,21.4121045965082,1,"Nigeria__2017"
"Nigeria",2018,"Social",17,8,415463791.280009,415463791.280009,0.0588235294117647,0.88235294117647,27,30.863297,0.35127744,5628.7407,8.63564101938257,19.8449060259356,0,"Nigeria__2018"
"Nigeria",2018,"Strategic",4,3,253936135.478083,253936135.478083,0.75,0.25,27,30.863297,0.35127744,5628.7407,8.63564101938257,19.35259336218,1,"Nigeria__2018"
"Nigeria",2019,"Social",12,6,78589702.5820594,78589702.5820594,0.0833333333333333,0.75,NA,NA,NA,5628.1777,8.63554099200732,18.1797512511348,0,"Nigeria__2019"
"Nigeria",2019,"Strategic",6,6,1274264084.82169,1274264084.82169,1,0.333333333333333,NA,NA,NA,5628.1777,8.63554099200732,20.9656346613291,1,"Nigeria__2019"
"Nigeria",2020,"Social",18,10,2247069.62706394,2247069.62706394,0,1,NA,NA,NA,5410.6934,8.5961325336829,14.6251379823886,0,"Nigeria__2020"
"Nigeria",2020,"Strategic",4,4,2872871963.92171,2872871963.92171,1,0,NA,NA,NA,5410.6934,8.5961325336829,21.7785780510085,1,"Nigeria__2020"
"Nigeria",2021,"Social",5,2,8472280.18469398,8472280.18469398,0,1,NA,NA,NA,5491.7,8.61099314048691,15.9523103555962,0,"Nigeria__2021"
"Nigeria",2021,"Strategic",1,1,50000000,50000000,1,0,NA,NA,NA,5491.7,8.61099314048691,17.7275335833924,1,"Nigeria__2021"
"Niue",2017,"Strategic",1,1,15971406.8563106,15971406.8563106,0,1,NA,NA,NA,NA,NA,16.5863106726182,1,"Niue__2017"
"Niue",2018,"Social",1,1,21796.9949575735,21796.9949575735,0,1,NA,NA,NA,NA,NA,9.98957327012404,0,"Niue__2018"
"North Korea",2013,"Strategic",1,1,405074203.370747,405074203.370747,0,1,8,NA,NA,NA,NA,19.8195808289565,1,"North Korea__2013"
"North Korea",2014,"Strategic",3,3,423243859.042142,423243859.042142,0,1,8,NA,NA,NA,NA,19.8634590721792,1,"North Korea__2014"
"North Korea",2015,"Strategic",2,2,224607280.548375,224607280.548375,0,1,8,NA,NA,NA,NA,19.229864019816,1,"North Korea__2015"
"North Korea",2016,"Strategic",1,1,187343904.566461,187343904.566461,0,1,12,NA,NA,NA,NA,19.0484565530056,1,"North Korea__2016"
"North Korea",2017,"Strategic",1,1,214544622.750478,214544622.750478,0,1,17,NA,NA,NA,NA,19.1840283108286,1,"North Korea__2017"
"North Korea",2018,"Strategic",1,1,272455870.624938,272455870.624938,0,1,14,NA,NA,NA,NA,19.422987219963,1,"North Korea__2018"
"North Korea",2019,"Strategic",1,1,233716607.47279,233716607.47279,0,1,NA,NA,NA,NA,NA,19.2696198644755,1,"North Korea__2019"
"North Macedonia",2013,"Strategic",2,2,883725311.628312,883725311.628312,1,0,44,5.2256985,0.36238977,17940.512,9.79481667478191,20.5996568399937,1,"North Macedonia__2013"
"North Macedonia",2014,"Social",4,2,16562587.1292334,16562587.1292334,0,1,45,4.5167346,0.35201505,18641.613,9.83315161883047,16.6226569827069,0,"North Macedonia__2014"
"North Macedonia",2019,"Social",2,2,5010044.87170603,5010044.87170603,0,1,NA,2.6633506,0.33505824,21990.316,9.99835745361382,15.4269556290483,0,"North Macedonia__2019"
"North Macedonia",2019,"Strategic",1,1,201898462.687809,201898462.687809,1,0,NA,2.6633506,0.33505824,21990.316,9.99835745361382,19.1232754739813,1,"North Macedonia__2019"
"North Macedonia",2020,"Social",12,5,474071.227112561,474071.227112561,0,1,NA,NA,NA,21186.709,9.96112933009257,13.0691149669435,0,"North Macedonia__2020"
"North Macedonia",2021,"Social",7,4,5474010.75681905,5474010.75681905,0,1,NA,NA,NA,22371.496,10.0155429275275,15.515522316337,0,"North Macedonia__2021"
"Oman",2015,"Strategic",1,1,20842259.9365945,20842259.9365945,1,0,45,NA,NA,39813.79,10.5919686136734,16.8524932592045,1,"Oman__2015"
"Oman",2016,"Strategic",3,3,537266051.303102,537266051.303102,1,0,45,NA,NA,39860.99,10.5931534303876,20.1020039716875,1,"Oman__2016"
"Oman",2018,"Strategic",1,1,186037351.96289,186037351.96289,1,0,52,NA,NA,38673.605,10.5629126049782,19.0414580338965,1,"Oman__2018"
"Oman",2019,"Social",1,1,252802037.758981,252802037.758981,1,0,NA,NA,NA,38292.387,10.5530063825648,19.3481172849156,0,"Oman__2019"
"Oman",2020,"Social",1,1,78178.5901671179,78178.5901671179,0,1,NA,NA,NA,37560.6,10.5337109076355,11.2667638971628,0,"Oman__2020"
"Oman",2021,"Social",2,1,1800000,1800000,0,1,NA,NA,NA,38719.457,10.5640975175318,14.4032977784218,0,"Oman__2021"
"Pakistan",2013,"Strategic",2,2,626961324.838041,626961324.838041,1,0,28,7.362643,0.29528573,4407.147,8.39098282031019,20.2563954154158,1,"Pakistan__2013"
"Pakistan",2014,"Strategic",3,3,907546685.517836,907546685.517836,0.666666666666667,0.666666666666667,29,NA,NA,4520.235,8.41631926262523,20.6262555679787,1,"Pakistan__2014"
"Pakistan",2015,"Social",7,6,44711310.0271169,44711310.0271169,0,0.857142857142857,30,5.110188,0.31291267,4645.286,8.44360822093483,17.615737070686,0,"Pakistan__2015"
"Pakistan",2015,"Strategic",25,25,12152417543.1476,12152417543.1476,1,0.16,30,5.110188,0.31291267,4645.286,8.44360822093483,23.2207939617671,1,"Pakistan__2015"
"Pakistan",2016,"Social",5,4,50387644.0518989,50387644.0518989,0,0.8,32,NA,NA,4886.6123,8.49425456119905,17.7352565651313,0,"Pakistan__2016"
"Pakistan",2016,"Strategic",12,12,5877705864.0994,5877705864.0994,0.916666666666667,0.416666666666667,32,NA,NA,4886.6123,8.49425456119905,22.4944323637284,1,"Pakistan__2016"
"Pakistan",2017,"Social",8,4,41109339.4919769,41109339.4919769,0,0.75,32,NA,NA,5031.5605,8.52348545354834,17.5317459162248,0,"Pakistan__2017"
"Pakistan",2017,"Strategic",18,17,6922231675.65442,6922231675.65442,0.888888888888889,0.222222222222222,32,NA,NA,5031.5605,8.52348545354834,22.6580040512115,1,"Pakistan__2017"
