"term","estimate","std.error","statistic","p.value","model"
"factor(entity)Romania",3.2327911295029,6.87614425310852,0.470145914702334,0.638551308795336,"M3_country_year_FE_cluster_entity"
"factor(entity)Russia",16.4226754046236,8.06479968544397,2.03634015042737,0.0424884909988387,"M3_country_year_FE_cluster_entity"
"factor(entity)Rwanda",-13.9728159190163,16.3687389385461,-0.853628124406842,0.393910302896264,"M3_country_year_FE_cluster_entity"
"factor(entity)Sao Tome and Principe",-3.17781712736536,6.61051548631597,-0.480721531315306,0.631022698703958,"M3_country_year_FE_cluster_entity"
"factor(entity)Senegal",-2.98701662561797,9.17498522238579,-0.325560919523884,0.744956257642518,"M3_country_year_FE_cluster_entity"
"factor(entity)Serbia",7.61438628178496,3.94401474844535,1.93061810551961,0.0543591320991035,"M3_country_year_FE_cluster_entity"
"factor(entity)Seychelles",8.42605842688079,8.59051839970681,0.980855640466164,0.327359311792186,"M3_country_year_FE_cluster_entity"
"factor(entity)Sierra Leone",-9.24102133944371,14.1974495151717,-0.650893058613701,0.515553867133821,"M3_country_year_FE_cluster_entity"
"factor(entity)Slovakia",-1.4829181670336,6.90116578137689,-0.214879371690406,0.829989817728475,"M3_country_year_FE_cluster_entity"
"factor(entity)Slovenia",-0.251922215049349,8.55582591860139,-0.0294445232343543,0.976527288745027,"M3_country_year_FE_cluster_entity"
"factor(entity)South Africa",2.41841803465098,10.3455662082628,0.233763719255833,0.815308690971482,"M3_country_year_FE_cluster_entity"
"factor(entity)South Korea",-0.94931015694076,10.3227405208085,-0.0919629971350295,0.926781439639448,"M3_country_year_FE_cluster_entity"
"factor(entity)Spain",-1.43972647189029,10.7465287473643,-0.133971304198428,0.893504297960184,"M3_country_year_FE_cluster_entity"
"factor(entity)Sri Lanka",9.07695680632287,2.65430232867902,3.41971474321097,0.000702889442777767,"M3_country_year_FE_cluster_entity"
"factor(entity)Sudan",-2.83926596787289,11.4159678723448,-0.248710052412728,0.803734794446621,"M3_country_year_FE_cluster_entity"
"factor(entity)Sweden",1.58621219757137,13.9772335724051,0.113485418223459,0.909712505894708,"M3_country_year_FE_cluster_entity"
"factor(entity)Switzerland",3.11928469433369,16.3846399808453,0.190378592265704,0.849125756569448,"M3_country_year_FE_cluster_entity"
"factor(entity)Tajikistan",-8.53555391490818,12.721721884919,-0.670943288347364,0.502710853193371,"M3_country_year_FE_cluster_entity"
"factor(entity)Tanzania",-8.13770685854657,13.8042003687111,-0.589509471116608,0.555909927917734,"M3_country_year_FE_cluster_entity"
"factor(entity)Thailand",4.83619525706117,4.61989321787262,1.04681970534552,0.295924168829759,"M3_country_year_FE_cluster_entity"
"factor(entity)Togo",-14.5643266463351,15.564032174189,-0.935768217601619,0.350054750654869,"M3_country_year_FE_cluster_entity"
"factor(entity)Tunisia",5.58353715437198,0.898490784800249,6.21435105270813,0.00000000150294066879755,"M3_country_year_FE_cluster_entity"
"factor(entity)Turkey",11.0012602769021,7.69259447254484,1.43011051943086,0.153600902742078,"M3_country_year_FE_cluster_entity"
"factor(entity)Uganda",-9.51076807124114,14.9282922706048,-0.637096856012708,0.524489239061028,"M3_country_year_FE_cluster_entity"
"factor(entity)Ukraine",6.54880252102277,3.02278982950143,2.1664762985202,0.0309670493342755,"M3_country_year_FE_cluster_entity"
"factor(entity)United Arab Emirates",-2.4447687342692,14.0850635991557,-0.173571721352806,0.862305046585789,"M3_country_year_FE_cluster_entity"
"factor(entity)United Kingdom",0.0714967431993518,13.1560563259933,0.00543451178892345,0.995667086137593,"M3_country_year_FE_cluster_entity"
"factor(entity)United States",0.431223561864239,16.0086407471375,0.0269369254189396,0.978525798887042,"M3_country_year_FE_cluster_entity"
"factor(entity)Uruguay",11.490967862669,10.0527871238052,1.14306288605855,0.253814350836505,"M3_country_year_FE_cluster_entity"
"factor(entity)Vietnam",4.02829575893484,4.39534601657713,0.916491157634018,0.36005703456051,"M3_country_year_FE_cluster_entity"
"factor(entity)Zambia",-9.71203888243639,12.3728403093785,-0.784948212341735,0.433028922875931,"M3_country_year_FE_cluster_entity"
"factor(entity)Zimbabwe",-7.98024079502034,12.095659393674,-0.659760707150368,0.509852748291424,"M3_country_year_FE_cluster_entity"
"factor(year)2014",0.780887858438032,0.685569934821903,1.1390345736805,0.255488259393601,"M3_country_year_FE_cluster_entity"
"factor(year)2015",1.43886568737794,0.945540483252406,1.52173884975144,0.129001263737266,"M3_country_year_FE_cluster_entity"
"factor(year)2016",0.0127110747839081,0.653378317476922,0.0194543872116739,0.984490001870893,"M3_country_year_FE_cluster_entity"
"factor(year)2017",1.06531348051949,0.890143145392985,1.19678895021898,0.232220201967305,"M3_country_year_FE_cluster_entity"
"factor(year)2018",1.65254815868727,1.03760657602606,1.59265389876034,0.112164353544347,"M3_country_year_FE_cluster_entity"
